response_id,email,customer_id,score,comment
NPS-1,user24@example.com,24,0,Feedback note 0
NPS-2,user25@example.com,25,1,
NPS-3,user26@example.com,26,2,
NPS-4,user27@example.com,27,3,
NPS-5,user28@example.com,28,4,
NPS-6,user29@example.com,29,5,Feedback note 5
NPS-7,user30@example.com,30,6,
NPS-8,user31@example.com,31,7,
NPS-9,user32@example.com,32,8,
NPS-10,user33@example.com,33,9,
NPS-11,user34@example.com,34,10,Feedback note 10
NPS-12,user35@example.com,35,0,
NPS-13,user36@example.com,36,1,
NPS-14,user37@example.com,37,2,
NPS-15,user38@example.com,38,3,
NPS-16,user39@example.com,39,4,Feedback note 15
NPS-17,user40@example.com,40,5,
NPS-18,user41@example.com,41,6,
NPS-19,user42@example.com,42,7,
NPS-20,user43@example.com,43,8,
NPS-21,user44@example.com,44,9,Feedback note 20
NPS-22,user45@example.com,45,10,
NPS-23,user46@example.com,46,0,
NPS-24,user47@example.com,47,1,
NPS-25,user48@example.com,48,2,
NPS-26,user49@example.com,49,3,Feedback note 25
NPS-27,user50@example.com,50,4,
NPS-28,user51@example.com,51,5,
NPS-29,user52@example.com,52,6,
NPS-30,user53@example.com,53,7,
NPS-31,user54@example.com,54,8,Feedback note 30
NPS-32,user55@example.com,55,9,
NPS-33,user56@example.com,56,10,
NPS-34,user57@example.com,57,0,
NPS-35,user58@example.com,58,1,
NPS-36,user59@example.com,59,2,Feedback note 35
NPS-37,user60@example.com,60,3,
NPS-38,user61@example.com,61,4,
NPS-39,user62@example.com,62,5,
NPS-40,user63@example.com,63,6,
NPS-41,user64@example.com,64,7,Feedback note 40
NPS-42,user65@example.com,65,8,
NPS-43,user66@example.com,66,9,
NPS-44,user67@example.com,67,10,
NPS-45,user68@example.com,68,0,
NPS-46,user69@example.com,69,1,Feedback note 45
NPS-47,user70@example.com,70,2,
NPS-48,user71@example.com,71,3,
NPS-49,user72@example.com,72,4,
NPS-50,user73@example.com,73,5,
NPS-51,user74@example.com,74,6,Feedback note 50
NPS-52,user75@example.com,75,7,
NPS-53,user76@example.com,76,8,
NPS-54,user77@example.com,77,9,
NPS-55,user78@example.com,78,10,
NPS-56,user79@example.com,79,0,Feedback note 55
NPS-57,user80@example.com,80,1,
NPS-58,user81@example.com,81,2,
NPS-59,user82@example.com,82,3,
NPS-60,user83@example.com,83,4,
NPS-61,alan@example.com,84,5,Feedback note 60
NPS-62,user85@example.com,85,6,
NPS-63,user86@example.com,86,7,
NPS-64,user87@example.com,87,8,
NPS-65,user88@example.com,88,9,
NPS-66,user89@example.com,89,10,Feedback note 65
NPS-67,grace@example.com,90,0,
NPS-68,user91@example.com,91,1,
NPS-69,user92@example.com,92,2,
NPS-70,user93@example.com,93,3,
NPS-71,user94@example.com,94,4,Feedback note 70
NPS-72,user95@example.com,95,5,
NPS-73,user96@example.com,96,6,
NPS-74,user97@example.com,97,7,
NPS-75,ada@example.com,98,8,
NPS-76,user99@example.com,99,9,Feedback note 75
NPS-77,user100@example.com,100,10,
NPS-78,user101@example.com,101,0,
NPS-79,user102@example.com,102,1,
NPS-80,user103@example.com,103,2,
NPS-81,user104@example.com,104,3,Feedback note 80
NPS-82,user105@example.com,105,4,
NPS-83,user106@example.com,106,5,
NPS-84,user107@example.com,107,6,
NPS-85,user108@example.com,108,7,
NPS-86,user109@example.com,109,8,Feedback note 85
NPS-87,user110@example.com,110,9,
NPS-88,user111@example.com,111,10,
NPS-89,user112@example.com,112,0,
NPS-90,user113@example.com,113,1,
NPS-91,user114@example.com,114,2,Feedback note 90
NPS-92,user115@example.com,115,3,
NPS-93,user116@example.com,116,4,
NPS-94,user117@example.com,117,5,
NPS-95,user118@example.com,118,6,
NPS-96,user119@example.com,119,7,Feedback note 95
NPS-97,user120@example.com,120,8,
NPS-98,user121@example.com,121,9,
NPS-99,user122@example.com,122,10,
NPS-100,user123@example.com,123,0,
NPS-101,user124@example.com,124,1,Feedback note 100
NPS-102,user125@example.com,125,2,
NPS-103,user126@example.com,126,3,
NPS-104,user127@example.com,127,4,
NPS-105,user128@example.com,128,5,
NPS-106,user129@example.com,129,6,Feedback note 105
NPS-107,user130@example.com,130,7,
NPS-108,user131@example.com,131,8,
NPS-109,user132@example.com,132,9,
NPS-110,user133@example.com,133,10,
NPS-111,user134@example.com,134,0,Feedback note 110
NPS-112,user135@example.com,135,1,
NPS-113,user136@example.com,136,2,
NPS-114,user137@example.com,137,3,
NPS-115,user138@example.com,138,4,
